Source,Y,Sw,db,Sub
Acta Geophysica,1,Shivalik,Web of Science,Geosciences
Acta Hydrochimica et Hydrobiologica,1,Sivalik,Scopus,Environmental Sciences
Acta Hydrochimica et Hydrobiologica,1,Sivalik,Web of Science,Environmental Sciences
Acta Zoologica Academiae Scientiarum Hungaricae,1,Shivalik,Web of Science,Biological Sciences
Agricultural Water Management,2,Shiwalik,Scopus,Agricultural Sciences
Agricultural Water Management,2,Shiwalik,Web of Science,Agricultural Sciences
Agrochimica,1,Shivalik,Web of Science,Agricultural Sciences
"AMA, Agricultural Mechanization in Asia, Africa and Latin America",2,Shivalik,Scopus,Agricultural Sciences
Ambio,2,Shiwalik,Scopus,Environmental Sciences
Ambio,1,Shiwalik,Web of Science,Environmental Sciences
Annals of Agri Bio Research,2,Shivalik,Scopus,Agricultural Sciences
Annals of Agri Bio Research,2,Shiwalik,Scopus,Agricultural Sciences
Annals of Biology,3,Shivalik,Scopus,Biological Sciences
Catena,2,Shivalik,Scopus,Geosciences
Comptes rendus des Seances de L'Academie des Sciences - Series III,1,Sivalik,Scopus,Multidisciplinary
Current Science,5,Shiwalik,Scopus,Multidisciplinary
Current Science,37,Siwalik,Scopus,Multidisciplinary
Current Science,5,Shiwalik,Web of Science,Multidisciplinary
Current Science,47,Siwalik,Web of Science,Multidisciplinary
Cytologia,5,Shiwalik,Scopus,Biological Sciences
Cytologia,5,Shiwalik,Web of Science,Biological Sciences
Dryland Management: Economic Case Studies,2,Shivalik,Scopus,Environmental Sciences
Geosynthetics International,2,Shiwalik,Scopus,Geosciences
Geosynthetics International,2,Shiwalik,Web of Science,Geosciences
Himalayan Geology,27,Siwalik,Scopus,Geosciences
Himalayan Geology,34,Siwalik,Web of Science,Geosciences
Hydrological Processes,2,Shiwalik,Scopus,Environmental Sciences
Hydrological Processes,2,Shiwalik,Web of Science,Environmental Sciences
Indian Forester,6,Shiwalik,Scopus,Biological Sciences
Indian Journal of Agricultural Economics,2,Shivalik,Scopus,Agricultural Sciences
Indian Journal of Agricultural Sciences,5,Shiwalik,Scopus,Agricultural Sciences
Indian Journal of Agricultural Sciences,5,Shivalik,Scopus,Agricultural Sciences
Indian Journal of Agricultural Sciences,5,Shiwalik,Web of Science,Agricultural Sciences
Indian Journal of Agricultural Sciences,5,Shivalik,Web of Science,Agricultural Sciences
Indian Journal of Animal Sciences,3,Shivalik,Scopus,Biological Sciences
Indian Journal of Animal Sciences,3,Shivalik,Web of Science,Biological Sciences
Indian Journal of Earth Sciences,1,Sivalik,Scopus,Geosciences
Indian Journal of Ecology,2,Shivalik,Scopus,Biological Sciences
Indian Journal of Ecology,3,Shiwalik,Scopus,Biological Sciences
International Journal of Remote Sensing,2,Shiwalik,Web of Science,Others
Journal of Advanced Zoology,2,Shivalik,Scopus,Biological Sciences
Journal of Animal and Plant Sciences,23,Siwalik,Scopus,Biological Sciences
Journal of Animal and Plant Sciences,24,Siwalik,Web of Science,Biological Sciences
Journal of Architecture and Urbanism,1,Sivalik,Scopus,Others
Journal of Asian Earth Sciences,36,Siwalik,Scopus,Geosciences
Journal of Asian Earth Sciences,34,Siwalik,Web of Science,Geosciences
Journal of Earth System Science,22,Siwalik,Scopus,Geosciences
Journal of Earth System Science,21,Siwalik,Web of Science,Geosciences
Journal of Geophysical Research-Atmospheres,2,Shivalik,Web of Science,Geosciences
Journal of Horticultural Science and Biotechnology,2,Shivalik,Web of Science,Agricultural Sciences
Journal of Human Evolution,3,Sivalik,Scopus,Biological Sciences
Journal of Human Evolution,23,Siwalik,Scopus,Biological Sciences
Journal of Human Evolution,1,Sivalik,Web of Science,Biological Sciences
Journal of Medical Primatology,2,Shivalik,Web of Science,Biological Sciences
Journal of the Geological Society of India,57,Siwalik,Scopus,Geosciences
Journal of the Geological Society of India,75,Siwalik,Web of Science,Geosciences
Journal of Vertebrate Palaentology,21,Siwalik,Web of Science,Geosciences
Land Degradation & Development,2,Shiwalik,Web of Science,Environmental Sciences
Mountain Research and Development,2,Shivalik,Web of Science,Environmental Sciences
Nature,27,Siwalik,Scopus,Multidisciplinary
Nature,4,Sivalik,Scopus,Multidisciplinary
Pakistan Journal of Zoology,41,Siwalik,Scopus,Biological Sciences
Pakistan Journal of Zoology,37,Siwalik,Web of Science,Biological Sciences
"Palaeogeography, Palaeoclimatology, Palaeoecology",54,Siwalik,Scopus,Geosciences
"Palaeogeography, Palaeoclimatology, Palaeoecology",2,Sivalik,Scopus,Geosciences
"Palaeogeography, Palaeoclimatology, Palaeoecology",42,Siwalik,Web of Science,Geosciences
Palontologische Zeitschrift,1,Sivalik,Scopus,Geosciences
Quarterly Journal of the Geological Society of London,1,Sivalik,Scopus,Geosciences
Quaternary International,21,Siwalik,Web of Science,Geosciences
"Rivista, Italiana di Palaeontologia e Stratigrafia",1,Sivalik,Scopus,Geosciences
Sociobiology,2,Shivalik,Web of Science,Others
