Species,Origin,Legume,bd,whc,sand,silt,clay,ph,ammn,nitraten,minn,pi,nitrif,nminer,soc,tkn,tp,mbc,mbn,mbp
Albizia lebbeck,Native,Legume,1.6,36.44,77.64,14.36,8,6.63,3.64,1.6,5.24,8,1.52,7.73,0.71,0.07,0.02,290,37.45,22
Albizia lebbeck,Native,Legume,1.7,24.16,78.52,14,7.48,6.65,4.16,1.8,5.96,9,2.86,9.02,0.73,0.07,0.02,260,32.96,16.5
Albizia lebbeck,Native,Legume,1.5,24.48,76.54,13.95,9.51,6.5,3.64,1.6,5.24,9,2.46,9.03,0.75,0.07,0.02,260,28.98,13.5
Albizia procera,Native,Legume,1.64,29.33,78.8,5.64,15.56,7.02,3.86,1.2,5.06,10,1.65,5.88,0.38,0.05,0.02,223,30,16
Albizia procera,Native,Legume,1.6,29.49,79.2,7.5,13.3,7.29,3.08,1.4,4.48,8.5,1.75,6.21,0.46,0.06,0.02,240,39,12.8
Albizia procera,Native,Legume,1.68,27.13,77.52,5.8,16.63,7.35,4.12,1.2,5.32,6.5,1.35,5.7,0.42,0.06,0.02,255,32,10
Tectona grandis,Native,Non-Legume,1.54,28.74,84.44,6.56,9,6.7,2.08,0.8,2.88,8,1.45,5.02,0.32,0.03,0.02,190.15,18.25,13.5
Tectona grandis,Native,Non-Legume,1.64,25.81,82.57,5.72,11.71,6.6,2.15,1.2,3.35,6.5,1.35,2.68,0.24,0.02,0.02,179.67,26.85,11
Tectona grandis,Native,Non-Legume,1.62,21.42,85.43,4.32,10.25,6.45,2.55,0.85,3.4,7.5,0.73,3.17,0.19,0.02,0.02,170.15,28.86,10
Dendrocalamus strictus,Native,Non-Legume,1.67,26.71,78.95,8.6,12.45,6.92,3.86,0.8,4.5,8,2.25,6.6,0.67,0.07,0.02,335.04,42.12,16.5
Dendrocalamus strictus,Native,Non-Legume,1.68,25.42,80.32,8.89,10.79,6.92,3.6,1.2,4,9,1.69,7.22,0.7,0.07,0.01,323.74,38.4,16.2
Dendrocalamus strictus,Native,Non-Legume,1.65,24.39,76.02,9.91,14.07,7.24,3.6,1.6,5,9.5,1.69,6.75,0.65,0.07,0.02,298.64,32.1,15.8
Acacia auriculiformis,Exotic,Legume,1.52,27.73,83.95,12.6,3.45,5.9,2.7,1.8,4.5,3.6,3.33,5.35,0.58,0.06,0.01,142.5,14,4.2
Acacia auriculiformis,Exotic,Legume,1.61,27.87,82.76,11.75,3.49,6.5,2.5,1.9,4.4,3.8,3.01,5.02,0.72,0.07,0.02,140,15,4
Acacia auriculiformis,Exotic,Legume,1.73,28.34,85.14,13.45,3.41,8.18,2.5,1.7,4.2,3.4,3.65,5.68,0.5,0.07,0.02,145,13,4.4
Casuarina equisetifolia,Exotic,Non-Legume,1.72,30.5,84.95,12.35,2.7,6.67,2.4,1.6,4,4.2,3.22,5.22,0.53,0.05,0.01,150,17,5.2
Casuarina equisetifolia,Exotic,Non-Legume,1.58,31,84.75,12,3.25,6.4,2,1.8,3.8,5,3.5,5.01,0.6,0.05,0.02,140,18,5.8
Casuarina equisetifolia,Exotic,Non-Legume,1.59,30.54,85.15,12.7,2.15,6.9,2.8,1.4,4.2,3.4,2.94,5.43,0.61,0.07,0.02,160,16,4.6
Cassia siamea,Exotic,Legume,1.51,28.52,83.31,13.4,3.29,6.12,2,1.5,3.5,3.4,3.29,5.3,0.44,0.05,0.01,122,10,3
Cassia siamea,Exotic,Legume,1.53,27.97,83.8,13.5,2.7,6.98,1.8,1.2,3,3,3.78,5,0.51,0.05,0.01,120,8,2.5
Cassia siamea,Exotic,Legume,1.79,29.49,82.82,13.3,3.88,7.48,2.2,1.8,4,3.8,2.8,5.6,0.46,0.05,0.01,124,12,3.5
Grevillea pteridifolia,Exotic,Non-Legume,1.54,30,82.58,13,4.42,6.76,2.4,1.9,4.3,4,3.1,5.01,0.52,0.06,0.01,140,17,6.5
Grevillea pteridifolia,Exotic,Non-Legume,1.56,31.73,82,12.7,5.3,7,2,2,4,4.5,3,5,0.58,0.05,0.01,145,20,7.8
Grevillea pteridifolia,Exotic,Non-Legume,1.64,30.46,83.16,13.3,3.54,6.79,2.8,1.8,4.6,3.5,3.2,5.02,0.55,0.06,0.02,135,14,5.2
