Species,CommonName,Native,Habit
Achyranthes aspera,Prickly chaff flower,Tropical America,Herb
Aerva lanata,Mountain knot grass,Tropical America,Herb
Ageratum conyzoides,Goat weed,Tropical America,Herb
Alternanthera philoxeroides,Alligator weed,South America,Herb
Anagallis arvensis,Blue pimpernel,West Asia,Herb
Andrographis paniculata,Kariyat,India,Herb
Anethum graveolens,Dill,Europe,Herb
Argemone mexicana,Prickly poppy,Tropical America,Herb
Arundo donax,Giant cane,Mediterranean Basin,Herb
Asphodelus fistulosus,Onion weed,Asia,Herb
Blepharis maderaspatensis,Creeping blepharis,Africa,Herb
Boerhavia diffusa,Red hogweed,Africa/Asia,Herb
Cassia tora,Sickle seena,South East Asia,Herb
Chenopodium vulgare,Goosefoot,Tropical America,Herb
Cissampelos pareira,Abuta,China,Herb
Cleome viscosa,Tickweed,Tropical America,Herb
Cynodon dactylon,Bermuda grass,Bermuda,Herb
Dicliptera paniculata,Panicled peristrophe,India,Herb
Dichanthium annulatum,Marvel grass,Tropical Asia,Herb
Eclipta prostrata,False daisy,Tropical America,Herb
Euphorbia dracunculoides,Dragon spruge,Tropical Africa,Herb
Euphorbia helioscopia,Sun spruge,Europe/Africa,Herb
Euphorbia thymifolia,Chickenweed,Tropical Africa,Herb
Evolvulus nummularius,Roundleaf bindweed,Tropical America,Herb
Fumaria indica,Indian fumitory,India,Herb
Gamochaeta pensylvanica,Cud weed,Tropical America,Herb
Gomphrena serrata,Prostrate globe amaranth,Tropical America,Herb
Malvastrum coromandelianum,False mallow,Tropical America,Herb
Mazus pumilus,Japanese mazus,South East Asia,Herb
Asparagus racemosus,Shatavar,Europe,Herb
Oxalis corniculata,Creeping wood sorrel,Europe,Herb
Panicum maximum,Guinea grass,Africa,Herb
Parthenium hysterophorus,Congress grass,Tropical America,Herb
Paspalum distichum,Knotgrass,Tropical America,Herb
Cenchrus ciliare,Buffel grass,Africa,Herb
Phyla nodiflora,Frog fruit,South America,Herb
Phyllanthus virgatus,Seed under leaf,Australia,Herb
Poa annua,Meadow grass,Tropical America,Herb
Polygonum glabrum,Marsh buckweed,South Asia,Herb
Polygonum capitatum,Pink knotweed,South Asia,Herb
Polygonum lapathifolium,Pale knotweed,Europe,Herb
Polypogon monspeliensis,Annual beard-grass,Southern Europe,Herb
Ranunculus sceleratus,Blister buttercup,N.America,Herb
Rivina humilis,Blood berry,Tropical America,Herb
Saccharum munja,Sarkanda,Tropical America,Herb
Saccharum spontaneum,Kans grass,Indian Subcontinent,Herb
Saussurea heteromalla,Kaliziri,India,Herb
Sida acuta,Common wireweed,Central America,Herb
Spergula arvensis,Corn spurry,Europe,Herb
Tinospora cordifolia,Gulbel,Indian Subcontinent,Herb
Trianthema portulacastrum,Gaint horseweed,Africa& America,Herb
Tridax procumbens,Coat buttons,Tropical America,Herb
Urena lobata,Caesarweed,Asia,Herb
Calotropis procera,Rubber bush,N. America,Shrub
Carissa spinarum,Wild karanda,Tropical africa,Shrub
Datura innoxia,Datura,C & S.America,Shrub
Desmodium gangeticum,Sal leaved datura,Tropical America,Shrub
Ipomoea carnea,Bush morning glory,Tropical America,Shrub
Justicia adhatoda,Malabar nut,India,Shrub
Lantana camara,Lantana,Tropical America,Shrub
Solanum viarum,Soda apple,Tropical America,Shrub
Tephrosia purpurea,Wild indigo,Tropical Asia,Shrub
Ziziphus jujuba,Wild jujube,South Asia,Shrub
Acacia catechu,Cutch tree,Indian subcontinent,Trees
Acacia nilotica,Gum arabic,Tropical America,Trees
Albizia procera,White siris,Asia,Trees
Alstonia scholaris,Scholar tree,Indian subcontinent,Trees
Bombax ceiba,Silk cotton tree,Tropical asia,Trees
Bauhinia variegata,Kachnar,South Asia,Trees
Broussonetia papyrifera,Paper mulberry,Asia,Trees
Butea monosperma,Flame of forest,South Asia,Trees
Cassia fistula,Amaltas,C & S America,Trees
Chukrasia tabularis,Chikrasi,Indian subcontinent,Trees
Cordia dichotoma,Indian cherry,West Asia,Trees
Dalbergia sissoo,Shisam,India,Trees
Diospyros montana,Bistendu,Australia/India,Trees
Eucalyptus tereticornis,Bluegum,Australia,Trees
Ficus racemosa,Cluster fig,Indian subcontinent,Trees
Ficus religiosa,Peepal,Indian subcontinent,Trees
Lannea grandis,Indian ash tree,Tropical Asia,Trees
Leucaena leucocephala,Wild tamarind,Tropical America,Trees
Millettia pinnata,Pongam tree,India,Trees
Morus alba,White mulberry,India,Trees
Murraya koenigii,Curry leaf,India,Trees
Phoenix sylvestris,Wild date palm,Indian subcontinent,Trees
Phyllanthus emblica,Amla,India,Trees
Prosopis juliflora,Mesquite,Australia,Trees
Psidium guajava,Guava,C & S America,Trees
Rhamnus purshiana,Buckthorn,N.America,Trees
Ricinus communis,Castor bean plant,Africa,Trees
Syzygium cumini,Jamun,South East Asia,Trees
Toona ciliata,Indian mahogany,Australia,Trees
Vitex negundo,Chinese chastetree,South Africa,Trees
Grewia asiatica,Phalsa,India,Trees
