PID,PID2,Lat,Long,Group,Area
1,T1,30.74812,76.81553,G1,100
1,T1H1,30.74811,76.81548,G1,1
1,T1H2,30.74807,76.81552,G1,1
1,T1H3,30.74809,76.81549,G1,1
2,T2,30.74799,76.81508,G1,100
2,T2H1,30.74798,76.81512,G1,1
2,T2H2,30.74796,76.81508,G1,1
2,T2H3,30.74792,76.81512,G1,1
3,T3,30.74614,76.81567,G2,100
4,T4,30.74629,76.81589,G2,100
5,T5,30.74669,76.81609,G2,100
5,T5H1,30.74669,76.81609,G2,1
5,T5H2,30.74671,76.81609,G2,1
5,T5H3,30.74675,76.81608,G2,1
6,T6,30.74705,76.81619,G2,100
6,T6H1,30.74705,76.81619,G2,1
6,T6H2,30.74702,76.81616,G2,1
6,T6H3,30.74702,76.81618,G2,1
7,T7,30.74516,76.81826,G3,100
7,T7H1,30.74516,76.81826,G3,1
7,T7H2,30.7452,76.81826,G3,1
7,T7H3,30.74515,76.81826,G3,1
8,T8,30.7455,76.81864,G3,100
8,T8H1,30.74553,76.81859,G3,1
8,T8H2,30.74554,76.8186,G3,1
8,T8H3,30.74549,76.8186,G3,1
9,T9,30.74613,76.8189,G3,100
9,T9H1,30.74613,76.8189,G3,1
9,T9H2,30.74618,76.81889,G3,1
9,T9H3,30.74613,76.81892,G3,1
10,T10,30.74502,76.82189,G4,100
10,T10H1,30.74502,76.82186,G4,1
10,T10H2,30.74497,76.82187,G4,1
10,T10H3,30.74496,76.82185,G4,1
11,T11,30.74542,76.82208,G4,100
11,T11H1,30.74541,76.82208,G4,1
11,T11H2,30.74542,76.82215,G4,1
11,T11H3,30.74542,76.82212,G4,1
12,T12,30.74581,76.82221,G4,100
12,T12H1,30.74578,76.82231,G4,1
12,T12H2,30.74579,76.82229,G4,1
12,T12H3,30.74576,76.82227,G4,1
13,T13,30.74538,76.8267,G5,100
13,T13H1,30.74536,76.82674,G5,1
13,T13H2,30.74538,76.82666,G5,1
13,T13H3,30.7454,76.82666,G5,1
14,T14,30.74806,76.81327,G1,100
14,T14H1,30.74808,76.81328,G1,1
14,T14H2,30.748,76.81322,G1,1
14,T14H3,30.74799,76.81332,G1,1
