"cell","PID","Breaktime","Magnitude","Disturbance"
46,1,2020.45483398438,0.0146229146048427,"Undisturbed"
45,2,2021.67919921875,0.0149239869788289,"Undisturbed"
86,3,2018.68029785156,-0.161004513502121,"Disturbed"
86,4,2018.68029785156,-0.161004513502121,"Disturbed"
66,5,2019.55346679688,-0.048518531024456,"Disturbed"
66,6,2019.55346679688,-0.048518531024456,"Disturbed"
87,7,2019.23767089844,-0.0862918421626091,"Disturbed"
88,8,2021.32556152344,0.0268610510975122,"Undisturbed"
88,9,2021.32556152344,0.0268610510975122,"Undisturbed"
90,10,2020.5419921875,-0.0297713726758957,"Disturbed"
90,11,2020.5419921875,-0.0297713726758957,"Disturbed"
90,12,2020.5419921875,-0.0297713726758957,"Disturbed"
93,13,2018.955078125,0.0277828425168991,"Undisturbed"
44,14,2021.39233398438,0.013466359116137,"Undisturbed"
