Search,Species,Invasion,Authors,Family,Order,Habit
Acacia nilotica,Vachellia nilotica,Native,(L.) P.J.H.Hurter & Mabb.,Fabaceae,Fabales,Tree
Aerva lanata,Ouret lanata,Native,(L.) Kuntze,Amaranthaceae,Caryophyllales,Herb
Ageratum conyzoides,Ageratum conyzoides,Invasive,L.,Asteraceae,Asterales,Herb
Ageratum houstonianum,Ageratum houstonianum,Invasive,Mill.,Asteraceae,Asterales,Herb
Albizia lebbeck,Albizia lebbeck,Native,(L.) Benth.,Fabaceae,Fabales,Tree
Bougainvillea spectabilis,Bougainvillea spectabilis,Introduced,Willd.,Nyctaginaceae,Caryophyllales,Shrub
Broussonetia papyrifera,Broussonetia papyrifera,Invasive,(L.) L'Hér. ex Vent.,Moraceae,Rosales,Tree
Butea monosperma,Butea monosperma,Native,(Lam.) Taub.,Fabaceae,Fabales,Tree
Calyptocarpus vialis,Calyptocarpus vialis,Introduced,Less.,Asteraceae,Asterales,Herb
Cannabis sativa,Cannabis sativa,Invasive,L.,Cannabaceae,Rosales,Herb
Cassia occidentalis,Senna occidentalis,Introduced,(L.) Link,Fabaceae,Fabales,Shrub
Cassia tora,Senna obtusifolia,Introduced,(L.) H.S.Irwin & Barneby,Fabaceae,Fabales,Shrub
Cissampelos pareira,Cissampelos pareira,Invasive,L.,Menispermaceae,Ranunculales,Climber
Commelina benghalensis,Commelina benghalensis,Native,L.,Commelinaceae,Commelinales,Herb
Cordia dichotoma,Cordia dichotoma,Native,G.Forst.,Cordiaceae,Boraginales,Tree
Dendrocalamus strictus,Dendrocalamus strictus,Native,(Roxb.) Nees,Poaceae,Poales,Shrub
Dicliptera paniculata,Dicliptera paniculata,Native,(Forssk.) I.Darbysh.,Acanthaceae,Lamiales,Herb
Ichnocarpus frutescens,Ichnocarpus frutescens,Native,(L.) W.T.Aiton,Apocynaceae,Gentianales,Climber
Justicia adhatoda,Justicia adhatoda,Native,L.,Acanthaceae,Lamiales,Herb
Lantana camara,Lantana camara,Invasive,L.,Verbenaceae,Lamiales,Shrub
Leucaena leucocephala,Leucaena leucocephala,Invasive,(Lam.) Dewit,Fabaceae,Fabales,Tree
Malvastrum coromandelianum,Malvastrum coromandelianum,Invasive,(L.) Garcke,Malvaceae,Malvales,Herb
Millettia peguensis,Millettia peguensis,Introduced,Ali,Fabaceae,Fabales,Tree
Murraya koenigii,Murraya koenigii,Native,(L.) Spreng.,Rutaceae,Sapindales,Tree
Oplismenus burmannii,Oplismenus burmanni,Native,(Retz.) P.Beauv.,Poaceae,Poales,Herb
Oxalis corniculata,Oxalis corniculata,Invasive,L.,Oxalidaceae,Oxalidales,Herb
Panicum antidotale,Panicum antidotale,Native,Retz.,Poaceae,Poales,Herb
Parthenium hysterophorus,Parthenium hysterophorus,Invasive,L.,Asteraceae,Asterales,Herb
Peperomia pellucida,Peperomia pellucida,Invasive,(L.) Kunth,Piperaceae,Piperales,Herb
Phoenix dactylifera,Phoenix dactylifera,Introduced,L.,Arecaceae,Arecales,Tree
Phyllanthus emblica,Phyllanthus emblica,Native,L.,Phyllanthaceae,Malpighiales,Tree
Prosopis juliflora,Prosopis juliflora,Invasive,(Sw.) DC.,Fabaceae,Fabales,Tree
Rivina humilis,Rivina humilis,Introduced,L.,Petiveriaceae,Caryophyllales,Herb
Sapindus mukorossi,Sapindus mukorossi,Native,Gaertn.,Sapindaceae,Sapindales,Tree
Sida acuta,Sida acuta,Invasive,Burm.f.,Malvaceae,Malvales,Herb
Sida cordata,Sida cordata,Invasive,(Burm.f.) Borss.Waalk.,Malvaceae,Malvales,Herb
Sida rhombifolia,Sida rhombifolia,Native,L.,Malvaceae,Malvales,Herb
Ziziphus mauritiana,Ziziphus mauritiana,Native,Lam.,Rhamnaceae,Rosales,Tree
